% Edge sensor logfile normalized 'log_20240202_161748.204/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1706887070.1921 0 0 0 2 0 0 0 0  0.0000
1706887070.2010 0 0 0 0 0 0 1 0  0.0000
1706887070.2086 6 3 0 1 3 2 3 0  0.0000
1706887070.2170 2 0 0 0 0 2 0 2  0.0000
1706887070.2244 1 0 0 0 0 3 0 0  0.0000
1706887070.2323 0 1 0 1 0 0 3 1  0.0000
1706887070.2407 1 0 0 0 4 3 4 9  0.0000
1706887070.2484 0 2 2 0 1 0 4 0  0.0000
1706887070.2562 0 0 0 0 1 12 10 3  0.0000
1706887070.2642 0 4 1 0 1 0 0 0  0.0000
1706887070.2728 0 0 2 0 2 0 0 4  0.0000
1706887070.2806 0 1 1 0 3 0 2 5  0.0000
1706887070.2880 0 0 0 0 0 0 2 2  0.0000
1706887070.2967 0 0 0 0 3 0 0 0  0.0000
1706887070.3046 0 0 3 3 4 2 0 0  0.0000
1706887070.3130 0 6 0 0 0 0 0 0  0.0000
1706887070.3208 1 1 0 4 0 0 0 0  0.0000
1706887070.3281 0 2 5 0 9 4 4 6  0.0000
1706887070.3374 0 0 7 4 0 2 0 0  0.0000
1706887070.3441 3 2 0 0 0 0 0 0  0.0000
1706887070.3520 3 0 2 6 0 0 0 1  0.0000
1706887070.3604 0 0 0 0 0 0 0 0  0.0000
1706887070.3683 0 0 5 0 0 0 0 0  0.0000
1706887070.3768 0 1 5 5 4 0 0 0  0.0000
1706887070.3850 3 2 0 0 0 0 0 0  0.0000
1706887070.3928 0 0 0 0 0 0 0 0  0.0000
1706887070.4007 7 5 0 0 0 0 7 10  0.0000
1706887070.4080 0 0 1 2 0 0 0 0  0.0000
1706887070.4169 0 3 0 2 0 0 0 0  0.0000
1706887070.4244 2 3 4 0 0 1 2 8  0.0000
1706887070.4326 7 2 0 0 0 3 6 3  0.0000
1706887070.4404 0 0 0 0 0 2 0 0  0.0000
1706887070.4483 0 0 3 0 2 5 0 3  0.0000
1706887070.4567 3 4 0 0 0 0 0 2  0.0000
1706887070.4646 0 0 0 0 0 0 5 3  0.0000
1706887070.4740 0 0 0 0 0 1 3 2  0.0000
1706887070.4804 0 0 0 1 0 8 5 2  0.0000
1706887070.4882 2 0 1 2 0 0 0 0  0.0000
1706887070.4961 0 0 1 3 0 0 0 0  0.0000
1706887070.5046 0 0 0 0 1 3 0 4  0.0000
1706887070.5126 0 0 0 0 0 0 0 2  0.0000
1706887070.5204 2 0 0 2 8 7 0 0  0.0000
1706887070.5286 1 8 0 4 0 0 0 0  0.0000
1706887070.5364 1 0 1 1 0 1 2 0  0.0000
1706887070.5443 7 4 2 4 4 3 3 0  0.0000
1706887070.5528 0 0 2 8 4 2 5 0  0.0000
1706887070.5607 0 0 0 2 1 0 0 0  0.0000
1706887070.5682 3 6 3 0 0 0 0 0  0.0000
1706887070.5764 2 1 1 0 0 0 0 0  0.0000
1706887070.5843 2 0 4 2 2 1 0 0  0.0000
1706887070.5922 0 0 2 5 6 0 0 0  0.0000
1706887070.6006 2 5 7 0 0 0 0 0  0.0000
1706887070.6082 0 3 0 0 0 0 0 0  0.0000
1706887070.6161 2 0 0 0 0 0 1 3  0.0000
1706887070.6241 3 4 1 0 0 5 10 9  0.0000
1706887070.6330 2 0 0 0 0 0 0 0  0.0000
1706887070.6408 2 8 3 0 0 0 0 0  0.0000
1706887070.6482 7 5 0 0 0 0 0 4  0.0000
1706887070.6569 0 0 0 0 0 0 4 7  0.0000
1706887070.6647 1 0 0 0 5 2 0 2  0.0000
1706887070.6727 6 0 0 2 0 0 0 0  0.0000
1706887070.6806 0 0 1 0 0 0 3 10  0.0000
1706887070.6885 8 2 0 0 0 6 10 4  0.0000
1706887070.6967 0 0 0 0 0 0 3 3  0.0000
1706887070.7046 0 0 0 0 4 7 2 0  0.0000
1706887070.7125 0 3 0 0 1 3 0 0  0.0000
1706887070.7209 0 0 0 1 0 0 0 0  0.0000
1706887070.7283 0 0 0 0 0 1 1 0  0.0000
1706887070.7362 0 0 2 0 6 1 2 4  0.0000
1706887070.7444 0 1 0 1 0 0 0 0  0.0000
1706887070.7522 2 0 1 3 4 2 0 0  0.0000
1706887070.7600 2 0 0 0 0 0 0 0  0.0000
1706887070.7681 0 0 0 0 3 0 0 0  0.0000
1706887070.7766 0 1 3 1 5 2 0 0  0.0000
1706887070.7844 0 11 7 3 1 0 1 0  0.0000
1706887070.7927 4 1 7 0 0 0 0 0  0.0000
1706887070.8005 0 1 0 0 0 1 0 3  0.0000
1706887070.8084 0 6 9 4 0 0 0 0  0.0000
1706887070.8168 4 0 0 0 0 0 0 0  0.0000
1706887070.8243 7 3 0 0 0 1 2 0  0.0000
1706887070.8329 0 4 3 3 0 0 0 3  0.0000
1706887070.8403 3 0 0 0 0 1 1 0  0.0000
1706887070.8482 0 0 2 0 0 0 0 0  0.0000
1706887070.8561 9 1 3 0 0 0 0 0  0.0000
