% Edge sensor logfile log_20240202_162221.774/log_edge.txt
% 	Calib white 1000 1000 1000 1000 1000 1000 1000 1000
% 	Calib black 0 0 0 0 0 0 0 0
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1706887343.9197 0 0.000 0.000 0.0000
1706887343.9270 0 0.000 0.000 0.0000
1706887343.9348 0 0.000 0.000 0.0000
1706887343.9434 0 0.000 0.000 0.0000
1706887343.9511 0 0.000 0.000 0.0000
1706887343.9589 0 0.000 0.000 0.0000
1706887343.9678 0 0.000 0.000 0.0000
1706887343.9755 0 0.000 0.000 0.0000
1706887343.9828 0 0.000 0.000 0.0000
1706887343.9914 0 0.000 0.000 0.0000
1706887343.9991 0 0.000 0.000 0.0000
1706887344.0069 0 0.000 0.000 0.0000
1706887344.0163 0 0.000 0.000 0.0000
1706887344.0228 0 0.000 0.000 0.0000
1706887344.0315 0 0.000 0.000 0.0000
1706887344.0395 0 0.000 0.000 0.0000
1706887344.0473 0 0.000 0.000 0.0000
1706887344.0553 0 0.000 0.000 0.0000
1706887344.0643 0 0.000 0.000 0.0000
1706887344.0708 0 0.000 0.000 0.0000
1706887344.0794 0 0.000 0.000 0.0000
1706887344.0885 0 0.000 0.000 0.0000
1706887344.0951 0 0.000 0.000 0.0000
1706887344.1030 0 0.000 0.000 0.0000
1706887344.1121 0 0.000 0.000 0.0000
1706887344.1188 0 0.000 0.000 0.0000
1706887344.1271 0 0.000 0.000 0.0000
1706887344.1351 0 0.000 0.000 0.0000
1706887344.1428 0 0.000 0.000 0.0000
1706887344.1517 0 0.000 0.000 0.0000
1706887344.1595 0 0.000 0.000 0.0000
1706887344.1671 0 0.000 0.000 0.0000
1706887344.1748 0 0.000 0.000 0.0000
1706887344.1833 0 0.000 0.000 0.0000
1706887344.1910 0 0.000 0.000 0.0000
1706887344.1989 0 0.000 0.000 0.0000
1706887344.2079 0 0.000 0.000 0.0000
1706887344.2154 0 0.000 0.000 0.0000
1706887344.2232 0 0.000 0.000 0.0000
1706887344.2318 0 0.000 0.000 0.0000
1706887344.2394 0 0.000 0.000 0.0000
1706887344.2474 0 0.000 0.000 0.0000
1706887344.2553 0 0.000 0.000 0.0000
1706887344.2627 0 0.000 0.000 0.0000
1706887344.2717 0 0.000 0.000 0.0000
1706887344.2791 0 0.000 0.000 0.0000
1706887344.2868 0 0.000 0.000 0.0000
1706887344.2958 0 0.000 0.000 0.0000
1706887344.3034 0 0.000 0.000 0.0000
1706887344.3111 0 0.000 0.000 0.0000
1706887344.3189 0 0.000 0.000 0.0000
1706887344.3274 0 0.000 0.000 0.0000
1706887344.3348 0 0.000 0.000 0.0000
1706887344.3437 0 0.000 0.000 0.0000
1706887344.3513 0 0.000 0.000 0.0000
1706887344.3590 0 0.000 0.000 0.0000
1706887344.3668 0 0.000 0.000 0.0000
1706887344.3756 0 0.000 0.000 0.0000
1706887344.3829 0 0.000 0.000 0.0000
1706887344.3916 0 0.000 0.000 0.0000
1706887344.3994 0 0.000 0.000 0.0000
1706887344.4071 0 0.000 0.000 0.0000
1706887344.4151 0 0.000 0.000 0.0000
1706887344.4230 0 0.000 0.000 0.0000
1706887344.4314 0 0.000 0.000 0.0000
1706887344.4391 0 0.000 0.000 0.0000
1706887344.4471 0 0.000 0.000 0.0000
1706887344.4558 0 0.000 0.000 0.0000
1706887344.4636 0 0.000 0.000 0.0000
1706887344.4714 0 0.000 0.000 0.0000
1706887344.4798 0 0.000 0.000 0.0000
1706887344.4875 0 0.000 0.000 0.0000
1706887344.4964 0 0.000 0.000 0.0000
1706887344.5030 0 0.000 0.000 0.0000
1706887344.5108 0 0.000 0.000 0.0000
1706887344.5196 0 0.000 0.000 0.0000
1706887344.5279 0 0.000 0.000 0.0000
1706887344.5358 0 0.000 0.000 0.0000
1706887344.5436 0 0.000 0.000 0.0000
1706887344.5513 0 0.000 0.000 0.0000
1706887344.5592 0 0.000 0.000 0.0000
1706887344.5682 0 0.000 0.000 0.0000
1706887344.5757 0 0.000 0.000 0.0000
1706887344.5832 0 0.000 0.000 0.0000
1706887344.5921 0 0.000 0.000 0.0000
1706887344.5998 0 0.000 0.000 0.0000
1706887344.6077 0 0.000 0.000 0.0000
1706887344.6156 0 0.000 0.000 0.0000
1706887344.6230 0 0.000 0.000 0.0000
1706887344.6317 0 0.000 0.000 0.0000
1706887344.6395 0 0.000 0.000 0.0000
1706887344.6472 0 0.000 0.000 0.0000
1706887344.6551 0 0.000 0.000 0.0000
1706887344.6639 0 0.000 0.000 0.0000
1706887344.6715 0 0.000 0.000 0.0000
1706887344.6790 0 0.000 0.000 0.0000
1706887344.6880 0 0.000 0.000 0.0000
1706887344.6956 0 0.000 0.000 0.0000
1706887344.7036 0 0.000 0.000 0.0000
1706887344.7124 0 0.000 0.000 0.0000
1706887344.7189 0 0.000 0.000 0.0000
1706887344.7273 0 0.000 0.000 0.0000
1706887344.7364 0 0.000 0.000 0.0000
1706887344.7431 0 0.000 0.000 0.0000
1706887344.7508 0 0.000 0.000 0.0000
1706887344.7597 0 0.000 0.000 0.0000
1706887344.7673 0 0.000 0.000 0.0000
1706887344.7753 0 0.000 0.000 0.0000
1706887344.7839 0 0.000 0.000 0.0000
1706887344.7915 0 0.000 0.000 0.0000
1706887344.7992 0 0.000 0.000 0.0000
1706887344.8082 0 0.000 0.000 0.0000
1706887344.8158 0 0.000 0.000 0.0000
1706887344.8237 0 0.000 0.000 0.0000
1706887344.8322 0 0.000 0.000 0.0000
1706887344.8394 0 0.000 0.000 0.0000
1706887344.8471 0 0.000 0.000 0.0000
1706887344.8561 0 0.000 0.000 0.0000
